Vehicle Number,Violation Type,Timestamp,Location,Latitude,Longitude,Confidence Score,Vehicle ID,Frame Number,Time Slot,Riders Count
UNKNOWN,Signal Jumping,2026-05-19 20:30:43,Junction A,18.5204,73.8567,0.95,,,,
UNKNOWN,Signal Jumping,2026-05-19 20:30:49,Junction A,18.5204,73.8567,0.95,,,,
UNKNOWN,Signal Jumping,2026-05-19 20:31:00,Junction A,18.5204,73.8567,0.95,,,,
UNKNOWN,Triple Riding,2026-05-19 20:36:26,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Signal Jumping,2026-05-19 20:36:32,Junction A,18.5204,73.8567,0.95,,,,
UNKNOWN,Signal Jumping,2026-05-19 20:36:39,Junction A,18.5204,73.8567,0.95,,,,
UNKNOWN,Signal Jumping,2026-05-19 20:36:55,Junction A,18.5204,73.8567,0.95,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:03,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:06,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:10,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Signal Jumping,2026-05-19 20:37:12,Junction A,18.5204,73.8567,0.95,,,,
UNKNOWN,Signal Jumping,2026-05-19 20:37:22,Junction A,18.5204,73.8567,0.95,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:25,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:26,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:27,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:28,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:28,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:28,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:29,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:30,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:30,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:31,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Signal Jumping,2026-05-19 20:37:32,Junction A,18.5204,73.8567,0.95,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:32,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:32,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:33,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:33,Junction A,18.5204,73.8567,0.9,,,,
UNKNOWN,Triple Riding,2026-05-19 20:37:33,Junction A,18.5204,73.8567,0.9,,,,
