Vehicle Number,Vehicle ID,Violation Type,Timestamp,Frame Number,Location,Time Slot,Latitude,Longitude,Confidence Score,Riders Count
UNKNOWN,2,Triple Riding,2026-06-12 21:33:52,3,"267,207",21:00-22:00,18.5204,73.8567,0.6221,3
UNKNOWN,8,Triple Riding,2026-06-12 21:33:52,3,"332,308",21:00-22:00,18.5204,73.8567,0.5274,3
UNKNOWN,2,Signal Jumping,2026-06-12 21:33:54,3,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,4,Signal Jumping,2026-06-12 21:33:54,3,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,2,Triple Riding,2026-06-12 21:34:03,3,"267,207",21:00-22:00,18.5204,73.8567,0.6221,3
UNKNOWN,8,Triple Riding,2026-06-12 21:34:03,3,"332,308",21:00-22:00,18.5204,73.8567,0.5274,3
UNKNOWN,-1,No Helmet,2026-06-12 21:34:05,15,Junction A,21:00-22:00,18.5204,73.8567,0.4913,0
UNKNOWN,9,Signal Jumping,2026-06-12 21:34:15,33,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,25,Triple Riding,2026-06-12 21:34:25,48,"235,304",21:00-22:00,18.5204,73.8567,0.425,4
UNKNOWN,25,Signal Jumping,2026-06-12 21:34:41,75,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,53,Signal Jumping,2026-06-12 21:34:45,81,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,53,Triple Riding,2026-06-12 21:34:46,84,"130,260",21:00-22:00,18.5204,73.8567,0.5612,3
UNKNOWN,8,Signal Jumping,2026-06-12 21:34:55,99,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,53,Triple Riding,2026-06-12 21:35:03,114,"77,242",21:00-22:00,18.5204,73.8567,0.4941,4
UNKNOWN,-1,No Helmet,2026-06-12 21:35:12,141,Junction A,21:00-22:00,18.5204,73.8567,0.6026,0
UNKNOWN,150,Signal Jumping,2026-06-12 21:35:13,144,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,152,Signal Jumping,2026-06-12 21:35:13,144,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,150,Triple Riding,2026-06-12 21:35:15,159,"185,208",21:00-22:00,18.5204,73.8567,0.6794,3
UNKNOWN,194,Signal Jumping,2026-06-12 21:35:18,183,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,150,Triple Riding,2026-06-12 21:35:18,189,"169,191",21:00-22:00,18.5204,73.8567,0.61,4
UNKNOWN,204,Triple Riding,2026-06-12 21:35:19,192,"171,201",21:00-22:00,18.5204,73.8567,0.6349,4
UNKNOWN,213,Signal Jumping,2026-06-12 21:35:20,198,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,219,Triple Riding,2026-06-12 21:35:20,204,"175,194",21:00-22:00,18.5204,73.8567,0.6843,3
UNKNOWN,150,Triple Riding,2026-06-12 21:35:22,219,"163,175",21:00-22:00,18.5204,73.8567,0.7133,3
UNKNOWN,238,Signal Jumping,2026-06-12 21:35:26,246,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,150,Triple Riding,2026-06-12 21:35:26,249,"162,153",21:00-22:00,18.5204,73.8567,0.6554,3
UNKNOWN,169,Triple Riding,2026-06-12 21:35:28,261,"37,199",21:00-22:00,18.5204,73.8567,0.4442,3
