epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.332,1.79321,3.07817,1.1801,0.00416,0.40394,0.05437,0.03189,1.55512,3.83012,1.05043,0.00053979,0.00053979,0.00053979
2,322.217,1.71788,1.9725,1.14727,0.00521,0.50985,0.12076,0.06277,1.76386,3.71872,1.11556,0.0010819,0.0010819,0.0010819
3,466.748,1.75286,1.81733,1.14217,0.57106,0.34319,0.42325,0.18863,1.86255,2.50386,1.13105,0.00161026,0.00161026,0.00161026
4,612.081,1.69995,1.61039,1.13033,0.57967,0.39102,0.47516,0.24686,1.72868,2.28639,1.17853,0.00160511,0.00160511,0.00160511
5,778.403,1.76557,1.52931,1.13115,0.50889,0.56322,0.55952,0.25421,1.80025,1.88246,1.15982,0.00158448,0.00158448,0.00158448
6,949.973,1.67874,1.42719,1.13034,0.77354,0.61084,0.69534,0.36138,1.68248,1.72955,1.11505,0.00156385,0.00156385,0.00156385
7,1097.83,1.6901,1.3444,1.10342,0.82953,0.65138,0.71393,0.36536,1.65637,1.5848,1.13194,0.00154323,0.00154323,0.00154323
8,1375.22,1.61818,1.25638,1.10393,0.86517,0.72115,0.81455,0.43553,1.60396,1.28812,1.09429,0.0015226,0.0015226,0.0015226
9,1556.5,1.61263,1.19139,1.10764,0.85781,0.67582,0.74519,0.40159,1.61555,1.31633,1.07675,0.00150197,0.00150197,0.00150197
10,1709.22,1.63717,1.16577,1.08139,0.75775,0.74056,0.77659,0.42276,1.59365,1.26662,1.08183,0.00148134,0.00148134,0.00148134
11,1876.37,1.58294,1.10362,1.09464,0.66976,0.62359,0.6966,0.35562,1.61995,1.38551,1.08347,0.00146071,0.00146071,0.00146071
12,2050.19,1.61068,1.05756,1.0896,0.75935,0.79451,0.80393,0.39673,1.74058,1.12172,1.10907,0.00144008,0.00144008,0.00144008
13,2405.34,1.6183,1.05929,1.08739,0.87392,0.77273,0.80288,0.42689,1.63014,1.05346,1.10493,0.00141945,0.00141945,0.00141945
14,2547.57,1.54956,1.01271,1.08666,0.77602,0.69658,0.76811,0.43182,1.5677,1.20082,1.06515,0.00139882,0.00139882,0.00139882
15,2696.53,1.57422,1.01445,1.07497,0.70426,0.75509,0.76091,0.4147,1.50923,1.18482,1.05786,0.00137819,0.00137819,0.00137819
16,2896.26,1.5538,0.98795,1.07988,0.87663,0.68883,0.79142,0.42141,1.66553,1.03924,1.10077,0.00135756,0.00135756,0.00135756
17,3059.91,1.55286,0.96007,1.06619,0.76865,0.69294,0.76609,0.39844,1.67056,1.20249,1.10048,0.00133693,0.00133693,0.00133693
18,3204.59,1.53105,0.9596,1.0598,0.93939,0.6573,0.7739,0.40281,1.66591,1.10128,1.10313,0.0013163,0.0013163,0.0013163
19,3390.57,1.5444,0.91311,1.0619,0.86826,0.68883,0.79601,0.43906,1.60871,1.00841,1.08608,0.00129568,0.00129568,0.00129568
