Vehicle Number,Violation Type,Timestamp,Location,Latitude,Longitude,Confidence Score
UNKNOWN,Signal Jumping,2026-05-19 19:22:48,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:22:48,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:22:56,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:22:56,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:22:57,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:22:57,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:22:59,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:22:59,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:00,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:00,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:01,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:01,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:03,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:03,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:04,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:04,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:05,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:05,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:07,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:07,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:08,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:08,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:09,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:09,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:10,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:10,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:12,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:12,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:13,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:13,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:14,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:14,Junction A,18.5204,73.8567,0.95
UNKNOWN,Signal Jumping,2026-05-19 19:23:14,Junction A,18.5204,73.8567,0.95
